date,new_confirmed,category_value,category_label,Tweet_date,Tweet,TweetCluster
10-03-2020,0,-15,Decrease the spread of COVID19,09-03-2020, For information and updates on COVID19 please visit  As of March 9 78 state and local public health labs across 50 states now have the capacity to test up to 75000 people for COVID19 Statelocal public health staff determine which specimens should be tested See updated interim testing guidance  Older adults and people of all ages with severe chronic medical conditions are more likely to develop serious outcomes including death if infected with COVID19 See CDC guidance for people who are at higher risk for serious illness   As the outbreak continues many people in the United States will at some point in time either this year or next be exposed to COVID19 its likely many will become sick but most people likely will have mild illness  Data indicate the novel coronavirus is capable of spreading easily and sustainably from person to person Because it is a new virus there is essentially no immunity against COVID19 in the population  Currently most cases of COVID19 in the US are in California and Washington State However many other communities are also dealing with cases of COVID19 See CDC recommendations for preventing spread of COVID19 in communities   There are an estimated 110000 cases of COVID19 worldwide  As of March 8 34 states New York City amp DC have reported nearly 500 cases of COVID19  Almost half of reported cases are in California amp Washington State  See Cases in the US   Childcare Programs amp K12 school administrators Support your community by sharing COVID19 resources amp plans with students families amp staff Read CDC recommendations to help prevent the spread of COVID19 in case of an outbreak in your community   The newest CDC Health Alert Network HAN Update highlights the recently expanded criteria for evaluation of Persons Under Investigation PUI and summarizes the expanded criteria for testing for COVID19 See   As people age their immune systems change making it harder to fight off serious illness like COVID19 Underlying health conditions may make it harder to cope with and recover from illness Plan what to do if you or your loved ones get sick   Local healthcare systems are preparing for the possibility of a COVID19 outbreak in your community You can too Develop a plan for homebased actions   RT CDSCanadaCEMD The Government of Canada has once again asked the CAF for support when Canadians need us most JV COVID19 https,2
14-03-2020,20,-18,Decrease the spread of COVID19,13-03-2020, Today Prime Minister Justin Trudeau and First Ministers discussed collective efforts to address the impact of COVID19  RT rcmpgrcpolice As COVID19 coronavirus continues to spread globally be on the lookout for associated scams Visit the Canadian Anti Prime Minister Justin Trudeau spoke with the President of France EmmanuelMacron to discuss COVID19 Read a summary of the call here  Today the Government of Canada announced the intention to defer the start of cruise ship season in Canada until July at the earliest as a COVID19 response measure Learn more  RT CPHOCanada The best way to prevent the spread of COVID19 and other respiratory infections is to wash your hands often with soap and CDC Briefing Room Dr Nancy Messonnier gives an update on COVID19 For more info visit   Schools have an important role in slowing and stopping the spread of diseases Ensure students have safe and healthy learning environments Work with local health departments to plan for possible spread of COVID19   Local healthcare systems are preparing for the possibility of a COVID19 outbreak in your community You can too Develop a plan for homebased actions   Q Did weather temperature have effect on covid19 askCDC AhmadseyarsafiA  Q COVID19 coronavirus askCDC I keep hearing that many people will get only a mild case but nothing about what should be done about it Stay home until fever free for 24 hours and then go back to normal life Or are there still risks of spreading it MeganhallaA  Q How afraid of coronavirus should I be askCDC Boomstick824A  Our COVID19 Twitter QampA with CDCs Deputy Director for Infectious Diseases Dr Jay Butler starts now askCDC HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic COVID19 Update and Infection Prevention and Control Recommendations Learn more about the event at   RT GovCanHealth FraudAlert There are reports of phishing campaigns related to COVID19 Help prevent misinformation by referencing tru RT GovCanHealth 15 Todays COVID19Question What is the difference between selfmonitoring and selfisolation  RT CPHOCanada The best way to prevent the spread of COVID19 and other respiratory infections is to wash your hands often with soap and,2
20-03-2020,131,-145,Decrease the spread of COVID19,19-03-2020, The Government of Canada is moving fast to protect Canadians and the economy Today Prime Minister Justin Trudeau updated Canadians about COVID19 and new measures Details   Today Prime Minister Justin Trudeau spoke with the President of Ukraine Volodymyr Zelenskyy to discuss COVID19 Read a summary of the call here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The Government of Canada is taking action to help businesses affected by the COVID19 crisis Learn more about the new measures to support Canadian businesses and help them retain their workers during this difficult time   Canadians should not have to worry about paying their rent or mortgage or buying groceries because of the COVID19 crisis Learn how the Government of Canada is taking action to support workers and their families   RT SecAzar Here are steps that every American should take to slow the spread of the coronavirus For the latest information from the CD RT HHSGov Together we can stop the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo Practice social distancing by putting space between yourself and others Continue to practice healthy habits like washing your hands for at least 20 seconds and staying home if youre sick to help slow the spread of COVID19 Learn more   RT CommrRCMPGRC The RCMP is monitoring the COVID19 pandemic and has measures in place to maintain policing services from coast to coast,1
22-03-2020,100,-267,Decrease the spread of COVID19,21-03-2020, If you are a Canadian abroad register with Global Affairs Canada so the government can provide you with information as soon as it becomes availableRegister online here  COVID19  Today Prime Minister Justin Trudeau addressed Canadians on the COVID19 situation and announced measures the Government of Canada is taking to help Canadian travellers find a way to get home Announcement details   RT GovCanHealth Think you might be experiencing symptoms of COVID19 Use the COVID19 selfassessment tool to help you determine if you Prime Minister Justin Trudeau announces efforts to bring Canadians home from abroad  COVID19 Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The Government of Canada is launching Canadas Plan to Mobilize Industry to Fight COVID19 to ensure that companies can quickly produce here in Canada the things we need Learn more   Have you prepared a space in your home in case someone gets COVID19 If a person you live with gets sick you should separate them from others Use an extra room or other area and  if possible  have them use a separate bathroom   Blood donors who are well schedule appointment to donate today Urgent need for donated blood US blood centers are following safety measures for COVID19 incl social distancing for donors and staff and adhering to environmental cleaning practices See  Practice physical or social distancing by putting space between yourself and others Continue to practice healthy habits washing your hands for at least 20 seconds amp staying home if sick to help slow the spread of COVID19 Learn more  StayAtHome  Everyone has a role to play to reduce amp slow transmission of COVID19 Physical or social distancing is one way to prevent the spread of COVID19 This means avoiding crowded places and maintaining distance from others More prevention tips  StayAtHome  RT CanadianPM Prime Minister Justin Trudeau announces efforts to bring Canadians home from abroad  COVID19 RT CanadianPM Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa htt Effective March 21 at 1201 am EDT the reciprocal border crossing agreement with the US comes into effect to protect the health and safety of Canadians and limit the spread of COVID19 Read more   RT CPHOCanada A key reason we need to delay and PlanktheCurve is to buy time for research and innovation to occur COVID19 Innovati,1
25-03-2020,617,-84,Decrease the spread of COVID19,24-03-2020, No matter who you are where you live or what you do COVID19 is having a real impact on your life The government is working hard to deliver support to Canadians as quickly as possible  RT GovCanHealth How is COVID19 transmitted Thats one of the many questions our virtual assistant can answer Meet them today  Yesterday Prime Minister Justin Trudeau spoke with the Prime Minister of Japan Shinzo Abe to discuss the latest developments in the COVID19 pandemic Read a summary of the call here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau and DeputyPMCanada Chrystia Freeland spoke with First Ministers to discuss COVID19 and the ongoing collective efforts to protect the health and safety of Canadians Read a summary of the call here  Today Prime Minister Justin Trudeau spoke with the Prime Minister of Ethiopia AbiyAhmedAli to discuss COVID19 Read a summary of the call here  The government will continue to support people and businesses affected by COVID19 Today Prime Minister Justin Trudeau announced support for farmers and agrifood businesses  research and vaccine development  NEW CDCTRAVELNOTICES COVID19 in Romania Qatar Singapore Saudi Arabia Philippines Ecuador South Africa Indonesia and India Avoid all nonessential travel to these areas More information   HCPs COCA Call on Wed March 25 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic COVID19 Update Optimization Strategies for Healthcare Personal Protective Equipment PPE Learn more   Parents A key to slowing the spread of COVID19 is to limit social interactions and practice socialdistancing Press pause on play dates amp keep any groups as small as possible StayAtHome   HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic Underlying Medical Conditions and People at Higher Risk for Coronavirus Disease 2019 COVID19 Learn more about the event at   RT GovCanHealth How is COVID19 transmitted Thats one of the many questions our virtual assistant can answer Meet them today ,0
31-03-2020,1111,-68,Decrease the spread of COVID19,30-03-2020, RT CitImmCanada For the most uptodate information about COVID19 travel restrictions and how its affecting immigration refugee citiz Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Worried about your pet during the COVID19 outbreak Theres no evidence that pets can get sick from the virus or spread the virus in the US Continue taking every day preventive actions to keep yourself healthy   RT CDCDirector Inspiring to see USNavy arrive in NYC to help respond to COVID19 Grateful to those serving aboard USNSMercy CDCMMWR study screened older patients in skilled nursing facility for COVID19 symptoms amp took specimens for testing found about half of patients who tested positive did not have symptoms Most went on to develop symptoms some did not   A lot is still being studied about how coronavirus spreads If you have COVID19 and are breastfeeding talk to your doctor and take everyday steps to keep your child safe Learn more   Taking an essential plane trip within Canada You may be unable to renew your ID due to COVID19 closures But if youre flying in Canada you can now temporarily use ID from Cdn govs that expired as of March 1 2020 Travel   stonepapertech PattyHajdu Hello thank you for your interest in providing products and services in support of Canadas response to COVID19 We invite all suppliers with the ability to provide products and services to find more at Thank you With so much information circulating on the internet beware of questionable offers around COVID19 such as Miracle cures Vaccinations Faster testingConsult trustworthy sources like CPHOCanada and GovCanHealth   To stop the spread of Covid19 everyone has a role to play Stay home Practice PhysicalDistancing Wash your hands frequently  RT CanBorder The temporary restrictions at the amp border to limit the spread of COVID19 do not apply essential travel Travel by heal RT CitImmCanada For the most uptodate information about COVID19 travel restrictions and how its affecting immigration refugee citiz,0
01-04-2020,1065,-46,Decrease the spread of COVID19,31-03-2020, RT CPHOCanada 66 Even if you are not hearing of COVID19 cases in your community it doesnt mean there are no cases or that there are The Government of Canada is working collaboratively with Canadian businesses and manufacturers to help deliver critical health supplies to fight COVID19 Learn more  Prime Minister Justin Trudeau announces progress under Canadas Plan to Mobilize Industry to fight COVID19 which increases Canadas ability to respond to the outbreak  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau spoke with the Prime Minister of Australia Scott Morrison to exchange views on their respective national measures to combat the COVID19 pandemic Read a summary of the call here  As always Canada and Canadians will get through this by leaning on each other and everyone doing their part We all need to take the right steps and follow public health recommendations Details  COVID19  Through the Canada Emergency Wage Subsidy the Government of Canada will subsidize up to 75 of wages for qualifying businesses to help employers keep people on the payroll Get the details  COVID19  Today Prime Minister Justin Trudeau spoke with Quebec Premier FrancoisLegault to discuss the evolving COVID19 situation Read a summary of the call here  DYK Disease outbreaks including pandemics typically follow a certain pattern The US is in the acceleration phase of the COVID19 pandemic The peak of an outbreak is the point at which the greatest number of new infections occur 1 of 2  Retirement community staff Lower the chances that residents or staff will get sick from COVID19 by limiting facetoface contact between people amp keeping all facilitiesresidences cleaned amp disinfected More FAQs   While infection from COVID19 is a concern for everyone older adults and people with other health conditions are at a greater risk  Learn about who is more at risk and how to protect yourself and your family in CDCMMWR  RT CanadianPM Prime Minister Justin Trudeau announces progress under Canadas Plan to Mobilize Industry to fight COVID19 which increase Protect yourself from scams around COVID19 wanting to profit from consumers fears uncertainties and misinformation Be aware of reported scams and if you see a scam report it   RT CPHOCanada 15 These are unprecedented times amp this is NOT SPRING AS USUAL so I am reiterating my COVID19 Spring Checklist to Slow,0
03-04-2020,1254,-416,Decrease the spread of COVID19,02-04-2020, RT ESDCGC To help Canadian workers get through the COVID19 outbreak we have introduced the Canada Emergency Response BenefitIf you RT FinanceCanada Learn how we are providing support to small businesses affected by COVID19 More details here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The Government is working hard to make sure Canadians get the support they need Today Prime Minister Justin Trudeau outlined Canadas ongoing efforts to fight COVID19 and provided an update on the Canada Emergency Response Benefit Details   Do you have a loved one in a nursing home or assisted living facility Please protect them from COVID19 Instead of inperson visits share phone or video calls This is temporary and will protect those at higher risk of COVID19 Learn more   RT HHSGov Together we can slow the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo Worried about your family member in an independent care facility amp how to protect them from COVID19 You can help by monitoring food and other medical supplies they may need and creating a backup plan Visit   Handwashing is one of the best ways to protect yourself and your family from getting sick Learn when and how you should wash your hands to stay healthy  COVID19  HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic Clinical Management of Critically Ill Adults with Coronavirus Disease 2019 COVID19 Learn more about the event at   Everyone can help prevent spread of COVID19 Clara the Coronavirus SelfChecker can help you decide when to call your doctor if you are feeling sick Start using Clara here   GoC has released guidance on services and functions deemed essential CriticalInfrastructure  The impacts of COVID19 are wideranging and it is essential that the systems that we all rely on as Canadians continue to function  GoC guides the 10 CriticalInfrastructure sectors in identifying and managing their essential workforce while responding to COVID19  RT FinanceCanada To support workers who lost their income due to COVID19 the GoC has established the Canada Emergency Response Benefit Employers and employees all have a role to play to PlankTheCurve Learn how to prepare your workplace for COVID19   RT Transportgc We are working to ensure the safety and security of Canadas transportation network during COVID19 so that food medici,2
06-04-2020,1155,-453,Decrease the spread of COVID19,05-04-2020,  Canadians you can slow the spread of COVID19Youve heard public health officials say we need to FlattenTheCurve but what does that meanPrime Minister Justin Trudeau explains why we need to PlankIt   If you stopped working because of COVID19 the Canada Emergency Response Benefit may provide you with temporary income support of 500 a week for up to 16 weeks Your day to apply depends on your birth month Details   Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Prime Minister Justin Trudeau and CPHOCanada Dr Theresa Tam answered questions from kids about COVID19 in a video call Watch it here   Today Prime Minister Justin Trudeau outlined measures to help individuals who are most vulnerable to the COVID19 pandemic including those experiencing homelessness and women fleeing genderbased violence Watch his full update   If youre 65 and older or have an underlying medical condition learn how you can take steps to protect yourself from coronavirus Learn more  COVID19  Take action to slow the spread of COVID19 by wearing a cloth face covering in public spaces keeping at least 6 feet of physical distance amp frequently washing your handsMake a cloth face covering from a tshirt scarf or cloth napkin Learn more at   Need COVID19 information in a different language Check out CDCs COVID19 web pages in Spanish simplified Chinese Vietnamese and Korean   To get through this together we must all stay apart PhysicalDistancing means you can still connect with loved ones but do it virtually StayHomeSaveLives  COVID19 FlattenTheCurve  We can all do our part in preventing the spread of COVID19 For more info visit  or contact 18337844397  To get through this together we must all stay apart PhysicalDistancing means you can still go to the grocery store but limit it to once per week Otherwise StayHomeSaveLives  COVID19 FlattenTheCurve ,2
10-04-2020,1383,-93,Decrease the spread of COVID19,09-04-2020, RT CPHOCanada Easter Vaisakhi Ramadan Puthandu are approaching amp connection has never been more important But as COVID19 is an unp RT GovCanHealth Want to help fight COVID19 Researchers and companies developing vaccines and other treatments for COVID19 can find in Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   If you were born in the months of October November or December and are eligible for the Canada Emergency Response Benefit apply today More info on how to apply and eligibility  COVID19  The Government of Canada is taking unprecedented action to support workers businesses and all Canadians impacted by the COVID19 pandemic  NEW There have been numerous COVID19 outbreaks on recent cruise ship voyages CDCDirector has extended the previous No Sail Order to prevent the spread of COVID19 among crew onboard   RT HHSGov Financial insecurity is on the minds of many Americans right now If you have been impacted by the COVID19 pandemic learn mor Wearing a cloth face covering CORRECTLY can help prevent the spread of COVID19 to others When you go out on essential trips follow these dos If you have a child remember those under age 2 should not wear a face covering See   Most people who get COVID19 will get better at home If you are caring for someone who is sick Have the person stay in a separate room and use a separate bathroom if possible Check how they are feeling but limit facetoface contactMore tips   Do you have friends or family who need COVID19 information in a different language CDCs COVID19 website has options in Spanish simplified Chinese Vietnamese and Korean Be sure to click the other language tabs here   RT CDCDirector Essential critical workers who have been exposed to COVID19 Stay at home if you are sick Take your temperature befor Make handwashing a family activity Explain to children that handwashing can keep them healthy Be a good role modelif you wash your hands often your children are more likely to do the same See more  COVID19  CDC thanks all the healthcare workers who are fighting COVID19 For detailed resources to guide you as you keep our communities safe see  NPHW  RT CDCDirector Employers of essential critical workers exposed to COVID19 Take employees temperature before work Send sick employe,0
