date,new_confirmed,category_value,category_label,Tweet_date,Tweet
01-04-2020,1065,-46,Decrease the spread of COVID19,18-03-2020, Earlier today Prime Minister Justin Trudeau and POTUS Donald Trump agreed to temporarily restrict all nonessential travel across the CanadaUS border to slow the spread of COVID19 Learn more   RT CPHOCanada 55 Use credible sources for information for the latest on COVID19 WHO GovCanHealthTravelGoCCanBorder RT FinanceCanada In response to COVID19 we are supporting individuals and businesses in need Have a look at how we will support you h Prime Minister Justin Trudeau spoke with the POTUS Donald Trump to discuss the additional steps they are taking to protect the health and safety of their citizens in response to COVID19 Read a summary of the call here  Today Prime Minister Justin Trudeau announced more support for workers and businesses through Canadas COVID19 Economic Response Plan Learn more  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Earlier today Prime Minister Justin Trudeau addressed Canadians and gave an update on the Government of Canadas response to COVID19  Older adults amp persons with severe chronic conditions Talk to your doctor about getting extra necessary medications or consider using mail order for medications in case there is a COVID19 outbreak in your community   New in CDCMMWR 8 out of 10 deaths associated with COVID19 occurred in older adults Everyone has a role to play in practicing social distancing to prevent the spread of COVID19 and protect those who are at greatest risk Read more   Think you might have COVID19 Learn steps you can take to manage your health at home and help prevent the spread to others in your home and community   RT CPHOCanada 12 Early diagnosis and isolation of individuals diagnosed with COVID19 are critical to slowing the spread of the novel  RT CPHOCanada 15 Feeling stressed about COVID19 It is normal to feel anxious sad or worried at this time Here are some tips from W RT CanadianPM Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa htt
03-04-2020,1254,-416,Decrease the spread of COVID19,20-03-2020, Yesterday Prime Minister Justin Trudeau spoke with the Prime Minister of Sweden Stefan Lfven to discuss COVID19 Read a summary of the call here  RT CanadaTrade We are taking strong action to SupportSME Learn more about s response to COVID19 by visiting our webpage with resour Canadas Plan to Mobilize Industry introduces new measures to directly support Canadian businesses to develop products made in Canada that will help in the fight against COVID19 Learn more   RT CPHOCanada 13 As First Nations Inuit and Metis prepare for COVID19 given the unique health challenges faced by remote and flyin Today Prime Minister Justin Trudeau spoke with the President of Kenya Uhuru Kenyatta to discuss COVID19 Read a summary of the call here  RT MinIndServ 14 We need to stay focused on sharing COVID19 information and adapting to reflect the needs of Indigenous communities in Today Prime Minister Justin Trudeau announced Canadas Plan to Mobilize Industry to fight COVID19 Learn more  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   RT CanRevAgency We understand that this is a difficult time for Canadians and that those who are unable to work as a result of COVID19 h RT CDCNCBDDD COVID19 Prevention tips for those who communicate using ASL is available on YouTube now  Feeling stressed or anxious about COVID19 Make time to do activities that you enjoy and can help you relax   If you had COVID19 and will not have a test to see if you are still contagious only leave your sick room and home when ALL of the following are trueNo fever for at least 72 hours 3 daysOther symptoms have improvedIt has been 7 days since you started feeling sick  Prepare for the possible spread of COVID19 in your community Preparation is especially important for older adults and people with underlying medical conditions Learn what actions you should take   Are you isolating yourself at home because you have COVID19 Thank you for helping to stop the spread of the virus and protect others See when you can stop home isolation   RT rcmpgrcpolice As Canada takes more measures to FlattentheCurve of COVID19 the RCMP is doing its part to keep Canadians safe and hea
06-04-2020,1155,-453,Decrease the spread of COVID19,23-03-2020, Social distancing  physical distancing  is the single best way to keep the people around you safe and reduce the spread of COVID19 No matter who you are if youre doing your part you are saving lives  RT NRCCNRC We have new Pandemic Response Challenge Program Were building teams to find solutions to meet urgent COVID19related needs RT ISEDCA Extra funding is being provided to AbCelleraBio and medicagoinc to support their work in the fight against COVID19 Learn m RT CPHOCanada 12 Parents your Teenagers may be having a hard time with COVID19 SocialDistancing Stopping routines missing out on Today Prime Minister Justin Trudeau announced support to quickly mobilize Canadian researchers and life sciences companies to combat COVID19 Details   Today Prime Minister Justin Trudeau announced important new measures to support farmers and agrifood businesses in Canada facing financial hardship due to the impacts of the COVID19 pandemic Details   Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   RT GovCanHealth Currently there is no vaccine for COVID19 or any natural health products that are authorized to protect against it Any Prime Minister Justin Trudeau announced the House will meet Tuesday to introduce new measures so Canadian workers and businesses have the financial support they need and highlighted what the government is doing to limit the spread of COVID19  NEW CDC TRAVEL NOTICES COVID19 in Australia Brazil Canada Chile Japan Israel Pakistan Thailand and Turkey Avoid all nonessential travel to these areas More information   HCPs COCA Call on Tues March 24 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic Underlying Medical Conditions and People at Higher Risk for Coronavirus Disease 2019 COVID19 Learn more   Do you or does someone you know communicate using American Sign Language Watch videos on coronavirus disease 2019 COVID19 part of the ASL video series on the CDC Streaming Health YouTube channel  RT HHSGov Together we can slow the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo Together we can help stop the spread of coronavirus Learn ways to protect yourself and others at  COVID19  CDC recommends that travelers defer all cruise travel worldwide because of the increased risk for COVID19 A new CDCMMWR report summarizes COVID19 outbreaks on cruise ships   Know the facts about COVID19 Dont share rumors amp unintentionally spread misinformation Federal state amp local governments are posting current and accurate information For help in distinguishing rumor from fact see FEMA Coronavirus Rumor Control   RT CPHOCanada 12 Parents your Teenagers may be having a hard time with COVID19 SocialDistancing Stopping routines missing out on Were working with CanBorder and CPHOCanada to stop the spread of COVID19 We have increased the health screening in airports and border crossings
10-04-2020,1383,-93,Decrease the spread of COVID19,27-03-2020, RT GovCanHealth Think youve been exposed to COVID19 Use the COVID19 selfassessment tool to help you determine if you need further as RT GovCanHealth As the COVID19 situation evolves we continue to make information available to as many Canadians as possible Our resour RT CRTCeng Receiving texts about COVID19 Be suspicious Fraudsters are using the COVID19 to scam vulnerable consumers Be careful and Prime Minister Justin Trudeau announces additional new measures to support small businesses dealing with the economic impacts of the COVID19 pandemic  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   RT CPHOCanada 36 The seriousness of COVID19 cannot be overstated Older adults and those with medical conditions are at highest risk B The Government of Canada has introduced a single benefitthe Canada Emergency Response Benefitto help workers who have lost their income because of the COVID19 pandemic Learn more   CDCTRAVELNOTICE COVID19 Global Pandemic Notice Avoid all nonessential international travel If you travel your plans may be disrupted due to travel restrictions and flight cancellations   RT DepSecHargan Earlier this week I visited NIH to donate blood for patients who are involved in clinical trials The COVID19 pandemi Dont put family at risk for COVID19 by visiting them in person Call grandparents or invite them to a video chat Keep your loved ones safe by staying connected while physically distant  PhysicalDistance TogetherAlone  RT CDCtravel CDCTRAVELNOTICE COVID19 Global Pandemic Notice Avoid all nonessential international travel If you choose to travel y Slow the spread of COVID19 by staying home and watching the latest new releases or your favorite reruns from the comfort of your own couch Recreate the movie theater experience by making some stovetop popcorn or other delicious snacks  PhysicalDistance  HCPs Today at 2pm ET log in to COCA Facebook profile or call in The rescheduled COCA Call Topic Underlying Medical Conditions and People at Higher Risk for Coronavirus Disease 2019 COVID19 Learn more about the event at   One small inconvenience today could save someones life Make sure to stay home if possible and maintain PhysicalDistancing COVID19   RT CRTCeng Beware of COVID19 frauds The SpamReportingCentre has received reports of emails selling face masks virus tests and tr
11-04-2020,1170,-213,Decrease the spread of COVID19,28-03-2020, Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Were all in this together The Government of Canada will continue to work around the clock to ensure all Canadians and small businesses get the support they need to weather the COVID19 pandemic Details on todays announcement   The Government of Canada is helping small and mediumsized businesses dealing with the impacts of COVID19 get the financial support they need to protect their workers and pay their bills Learn more   While staying home to prevent COVID19 do that thing around the house you have been putting off Repair paint or clean and then share your before and after pics online Your friends will have plenty of time to like and retweet   PhysicalDistance  PetOwners Theres no evidence that pets in the US can spread COVID19 to people The virus spreads mostly from person to person through respiratory droplets when an infected person coughs or sneezes See steps to protect your amp your familys health   Parents Closing schools is one way to slow the spread of COVID19 but  as you know  being home all the time can be hard Find tips to support the health and wellbeing of yourself and your children while youre home together    Do not ingest aquarium use products or any other chemicals that contain chloroquine phosphate to treat COVID19 These chemicals are not intended for human consumption and can lead to serious health consequences including death See CDC health advisory  NEW CDC Health Alert Network advisory Severe Illness Associated with Using NonPharmaceutical Chloroquine Phosphate to Prevent and Treat Coronavirus Disease 2019 COVID19   RT CDCDirector COVID19 is the most serious health threat that has faced this country in more than 100 years  Thank you to those who hav Most people who have died from coronavirus are over 65 If you have a serious underlying condition you also could get very sick from COVID19 even if youre younger Learn more at   RT SecAzar Here are the most recent guidelines for Americans to help slow the spread from the WhiteHouse and CDCgov coronavirus COVI Check in with your neighbours who might be at a higher risk offer to get them food or supplies they might need COVID19  
12-04-2020,1065,-105,Decrease the spread of COVID19,29-03-2020, Prime Minister Justin Trudeau announces measures to support vulnerable Canadians to help cope with the health social and economic impacts of the COVID19 pandemic  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Take simple daily precautions to help prevent the spread of respiratory illnesses like COVID19 Learn how to protect yourself from coronavirus COVID19   Help prevent the spread of COVID19 Avoid close contact with people who are sick wash hands often for at least 20 seconds avoid touching your face and practice social distancing by putting space between yourself and others   While socialdistancing for COVID19 take the time to check in on friends and family to see how they are doing Set up a daily phone or video call to touch base and share the best and most challenging parts of the day TogetherApart    Domestic Travel Advisory Due to extensive community transmission of COVID19 in New York New Jersey and Connecticut CDC urges residents to refrain from nonessential domestic travel for 14 days effective immediately  Read more   Wash your hands for at least 20sec use the chorus of your favourite song and sing it to yourself COVID19  
15-04-2020,1318,-65,Decrease the spread of COVID19,01-04-2020, Starting on April 6 Canadians impacted by COVID19 will be able to apply for the Canada Emergency Response Benefit Learn more    RT GovCanHealth Symptoms of COVID19 may include fever cough and difficulty breathing Infections are diagnosed by a health care provide RT GovCanHealth Use the Government of Canada COVID19 app to get all the latest info on COVID19 in Canada A selfassessment tool resou Today Prime Minister Justin Trudeau spoke with the President of South Africa CyrilRamaphosa to discuss recent developments in the COVID19 pandemic Read a summary of the call here  RT CPHOCanada 12 COVID19 PhysicalDistancing measures are a MUST to PlanktheCurve but they present unique challenges for teens amp th Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Correctional and detention facility administrators Once COVID19 enters a facility it can spread quickly Read guidance on protecting your staff incarcerated persons and potential visitors from coronavirus   Social distancing can help slow the spread of COVID19 in affected communities This means avoiding crowded places and maintaining distance from others Learn more about staying safe and healthy at  FlattenTheCurve  As of April 1 46 US states and 1 US territory report some community spread of coronavirus COVID19 Of those 25 states report COVID19 cases are widespread Stay at home and practice social distancing For info on your state see   RT HHSGov Together we can slow the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo RT NIH It can be difficult to cope with fear amp anxiety changing daily routines and a general sense of uncertainty about COVID19 Altho DYK Nationally the US is in what is called the acceleration interval or phase of the COVID19 pandemic Acceleration is the increasingly steep upward part of the epidemiologic curve as the new virus infects more and more people 1 of 3  HCPs COCA Call on Thurs April 2 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic Clinical Management of Critically Ill Adults with Coronavirus Disease 2019 COVID19 Learn more   New CDCMMWR report on COVID19 in Singapore shows that some clusters of cases likely resulted from people without symptoms spreading illness Social distancing and avoiding crowds are key to slowing the spread of COVID19    RT GovCanHealth Use the Government of Canada COVID19 app to get all the latest info on COVID19 in Canada A selfassessment tool resou Change your regular habits to reduce your exposure to COVID19 Opt for online shopping and delivery Get groceries outside of peak hours RT FCACan Beware of fraudsters and scammers using fear and anxiety around COVID19 to target individuals Here are some tips to help you AS41568837 CPHOCanada Hello the best way to prevent COVID19 is by following GovCanHealth guidelines If you think you might have contracted COVID19 you can also take the selfassessment quiz  RT TravelGoC GlobalPandemic An emergency order is in place to slow the introduction and spread of COVID19 It applies to all traveller RT CPHOCanada 13   we need to double down on our efforts We MUST continue TogetherApart to prevent COVID19 introduction into high
18-04-2020,1470,-322,Decrease the spread of COVID19,04-04-2020, If you stopped working because of COVID19 the Canada Emergency Response Benefit may provide you with temporary income support of 500 a week for up to 16 weeks Your day to apply depends on your birth month Details   RT CPHOCanada 18 Epidemiology 101 on COVID19 in  Were all in this FlattentheCurve together so lets get up to speed with what we RT WomenCanada The GoC is investing up to 50M to help women fleeing domestic violence in the COVID19 pandemic This funding will suppo Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   To get through this together we must all stay apart PhysicalDistancing saves lives  do your part StayHomeSaveLives  COVID19 FlattenTheCurve  With more Canadians turning to food banks and local food organizations and donations and available volunteers decreasing our help is needed more than ever Today Prime Minister Justin Trudeau announced support for these organizations Watch his COVID19 update   People over 65 and people with underlying medical conditions are at higher risk for getting seriously ill from coronavirus Together we can help slow the spread Learn ways to protect yourself and others at  COVID19  Feeling sick Answer a few questions about your symptoms using Clara CDCs Coronavirus SelfChecker to help you decide if you should call your doctor   CDC COVIDView reports that visits to outpatient providers and ERs for illnesses with similar symptoms to COVID19 are high compared to what we normally see at this time of year Currently there is little flu circulation   RT CDCDirector The US Gov is working to increase PPE supplies to keep our healthcare workers safe during the COVID19 pandemic Begin to If youre pregnant help protect yourself from COVID19 by keeping your distance from others washing your hands frequently and avoiding people who are sick Learn more at   DYK CDCs recommendation on wearing a cloth face covering may help protect the most vulnerable from COVID19 Watch SurgeonGeneral Jerome Adams make a face covering in a few easy steps   RT CDCDirector Grateful to join POTUS to share latest from WhiteHouse COVID19 Task Force While 30 Day StayAtHome guidance remains ou CDC report indicates that the highest hospitalization rates for COVID19 are in people 65 or older and 5064 yearsold Hospitalization rates now in those age groups are similar to the beginning of an annual flu epidemic   To get through this together we must all stay apart PhysicalDistancing saves lives  do your part StayHomeSaveLives  COVID19 FlattenTheCurve  RT ESDCGC Have you lost or will you lose your income due to the COVID19 pandemic Apply for the Canada Emergency Response Benefit st RT CanBorder NowIsNotTheTime to travel for nonessential purposes StayHome to help fight the spread of COVID19 and help FlattenTheCu To help stop the spread of COVID19Wash your hands frequentlyCough and sneeze into your elbowClean and disinfect frequently touched objects and surfaces 
19-04-2020,1432,-38,Decrease the spread of COVID19,05-04-2020,  Canadians you can slow the spread of COVID19Youve heard public health officials say we need to FlattenTheCurve but what does that meanPrime Minister Justin Trudeau explains why we need to PlankIt   If you stopped working because of COVID19 the Canada Emergency Response Benefit may provide you with temporary income support of 500 a week for up to 16 weeks Your day to apply depends on your birth month Details   Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Prime Minister Justin Trudeau and CPHOCanada Dr Theresa Tam answered questions from kids about COVID19 in a video call Watch it here   Today Prime Minister Justin Trudeau outlined measures to help individuals who are most vulnerable to the COVID19 pandemic including those experiencing homelessness and women fleeing genderbased violence Watch his full update   If youre 65 and older or have an underlying medical condition learn how you can take steps to protect yourself from coronavirus Learn more  COVID19  Take action to slow the spread of COVID19 by wearing a cloth face covering in public spaces keeping at least 6 feet of physical distance amp frequently washing your handsMake a cloth face covering from a tshirt scarf or cloth napkin Learn more at   Need COVID19 information in a different language Check out CDCs COVID19 web pages in Spanish simplified Chinese Vietnamese and Korean   To get through this together we must all stay apart PhysicalDistancing means you can still connect with loved ones but do it virtually StayHomeSaveLives  COVID19 FlattenTheCurve  We can all do our part in preventing the spread of COVID19 For more info visit  or contact 18337844397  To get through this together we must all stay apart PhysicalDistancing means you can still go to the grocery store but limit it to once per week Otherwise StayHomeSaveLives  COVID19 FlattenTheCurve 
21-04-2020,1591,-454,Decrease the spread of COVID19,07-04-2020, Through the Plan to Mobilize Industry to fight COVID19 were helping companies retool repurpose and innovate Thousands of Canadian companies have stepped forward to help and on behalf of all Canadians thank you   Canadian businesses and manufacturers are stepping up to fight COVID19 Today Prime Minister Justin Trudeau announced further progress under Canadas Plan to Mobilize Industry to fight COVID19 Details  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   If you were born in the months of April May or June and are eligible for the Canada Emergency Response Benefit apply today More info on how to apply and eligibility  COVID19  Whatever your situation the Government of Canada is working hard to get you the help you need  COVID19  RT CPHOCanada Thank you to all of the essential workers who are supporting  as we face COVID19 TogetherApart ThankATrucker for del Coronavirus face covering donts are simple do NOT use a face covering on a child under two years old and do NOT use surgical masks or other PPE intended for healthcare workers See some COVID19 face covering questions and answers   Coronavirus face covering dos as you get ready to go to the grocery store the pharmacy or to your doctors office Do make sure you can breathe through it Do wear it whenever going out in public Do make sure it covers your nose and mouth and do wash after each use  Is someone in your home sick with COVID19  Do not clean the area around them unless it is soiled In the rest of the home clean often touched surfaces amp objects phones tables countertops light switches doorknobs using soap amp water then disinfect   Growing evidence suggests COVID19 can spread before people show symptoms presymptomatic and from people who have coronavirus but never show symptoms asymptomatic Cloth face coverings help prevent spread of COVID19 in these situationsSee QampA   Plan meals and have your food delivered if possible If you must go to the store during COVID19 avoid peak hours and try to send only one person to shop More household tips  PhysicalDistance SocialDistancing  Thank you to all the healthcare heroes who are on the frontlines giving everything they have to fight COVID19 amp save lives CDC has resources for you NPHW  RT CompBureau Some apps that claim to map out COVID19 cases as they evolve can be a fraud StayVigilant as they can download malware t RT rcmpgrcpolice Listen to what one of our experts has to say about COVID19 scams and cyber threats Protect yourself and each other P RT CPHOCanada 16 For COVID19 layering publichealth protections is a MUST Unless practiced well amp maintained none can be 100 Our b To all first responders and health care workers taking care of Canadians Thank you for being on the front lines to help PlankTheCurve COVID19 Thank you to all essential business employees for working through this difficult time and providing Canadians with the supplies we need to continue to PlankTheCurve COVID19
