date,new_confirmed,category_value,category_label,Tweet_date,Tweet,Tweet Prediction
02-04-2020,1670,605,Increase the spread of COVID19,01-04-2020, Starting on April 6 Canadians impacted by COVID19 will be able to apply for the Canada Emergency Response Benefit Learn more    RT GovCanHealth Symptoms of COVID19 may include fever cough and difficulty breathing Infections are diagnosed by a health care provide RT GovCanHealth Use the Government of Canada COVID19 app to get all the latest info on COVID19 in Canada A selfassessment tool resou Today Prime Minister Justin Trudeau spoke with the President of South Africa CyrilRamaphosa to discuss recent developments in the COVID19 pandemic Read a summary of the call here  RT CPHOCanada 12 COVID19 PhysicalDistancing measures are a MUST to PlanktheCurve but they present unique challenges for teens amp th Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Correctional and detention facility administrators Once COVID19 enters a facility it can spread quickly Read guidance on protecting your staff incarcerated persons and potential visitors from coronavirus   Social distancing can help slow the spread of COVID19 in affected communities This means avoiding crowded places and maintaining distance from others Learn more about staying safe and healthy at  FlattenTheCurve  As of April 1 46 US states and 1 US territory report some community spread of coronavirus COVID19 Of those 25 states report COVID19 cases are widespread Stay at home and practice social distancing For info on your state see   RT HHSGov Together we can slow the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo RT NIH It can be difficult to cope with fear amp anxiety changing daily routines and a general sense of uncertainty about COVID19 Altho DYK Nationally the US is in what is called the acceleration interval or phase of the COVID19 pandemic Acceleration is the increasingly steep upward part of the epidemiologic curve as the new virus infects more and more people 1 of 3  HCPs COCA Call on Thurs April 2 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic Clinical Management of Critically Ill Adults with Coronavirus Disease 2019 COVID19 Learn more   New CDCMMWR report on COVID19 in Singapore shows that some clusters of cases likely resulted from people without symptoms spreading illness Social distancing and avoiding crowds are key to slowing the spread of COVID19    RT GovCanHealth Use the Government of Canada COVID19 app to get all the latest info on COVID19 in Canada A selfassessment tool resou Change your regular habits to reduce your exposure to COVID19 Opt for online shopping and delivery Get groceries outside of peak hours RT FCACan Beware of fraudsters and scammers using fear and anxiety around COVID19 to target individuals Here are some tips to help you AS41568837 CPHOCanada Hello the best way to prevent COVID19 is by following GovCanHealth guidelines If you think you might have contracted COVID19 you can also take the selfassessment quiz  RT TravelGoC GlobalPandemic An emergency order is in place to slow the introduction and spread of COVID19 It applies to all traveller RT CPHOCanada 13   we need to double down on our efforts We MUST continue TogetherApart to prevent COVID19 introduction into high,0
04-04-2020,1367,113,Increase the spread of COVID19,03-04-2020, RT AAFCCanada The GoC is supporting food security organizations in  who are responding to COVID19 Up to 100M will help improve acc Prime Minister Justin Trudeau announces support for food banks and local food organizations to improve access to food for Canadians facing social economic and health impacts of COVID19   Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau and DeputyPMCanada Chrystia Freeland spoke with premiers on continued efforts to address the impacts of COVID19 Read about their discussion  The Government of Canada is giving the fight against COVID19 everything weve got but it wont be enough without your help Its going to take physical distancing and time to FlattenTheCurve Watch todays update on what were doing   The cloth face coverings recommended to slow spread of COVID19 are not surgical masks or N95 respirators  Those critical supplies must continue to be reserved for healthcare workers and other medical first responders as recommended by current CDC guidance Cloth face coverings fashioned from household items or made at home from common materials at low cost can be used as an additional voluntary public health measure to help slow the spread of COVID19 Maintaining 6feet min social distancing remains important to slowing spread of COVID19  CDC also advises use of simple cloth face coverings to slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others In light of new evidence CDC recommends wearing cloth face coverings to slow spread of COVID19 in public settings where other social distancing measures are difficult to maintain eg grocery stores amp pharmacies esp in areas of significant communitybased transmission Recent studies show that a significant portion of individuals with COVID19 lack symptoms asymptomatic and that even those who eventually develop symptoms presymptomatic can transmit the virus to others before showing symptoms Breaking CDCs recommendation on use of cloth face coverings especially in areas of significant communitybased transmission of COVID19 Read more  COVID19 is the first pandemic caused by a new coronavirus In the past pandemics of respiratory disease have progressed in phases The US is in the acceleration phase of the COVID19 pandemic There are ongoing investigations to learn more See   HCPs Using telemedicine instead of facetoface encounters for routine medical visits can help slow the spread of COVID19 in communities Learn more   Early implementation of community interventions in Santa Clara CA such as protecting vulnerable populations cancelling large gatherings and ordering residents to shelter in place was likely essential in slowing the spread of COVID19 More in CDCMMWR   In assisted amp independent living communities enhanced measures including social distancing visitor restriction exclusion of ill staff amp enhanced hygiene practices implemented quickly after detecting a COVID19 case can decrease spread   To slow the spread of COVID19 stay at home except to get groceries medications or other essentials Avoid outings you dont have to take Visit the FAQs for more tips PhysicalDistance SocialDistancing  The Government of Canada has accepted a Request For Assistance from Quebec to help northern communities respond to COVID19 Were working closely with our federal and provincial partners to help during this difficult time When verifying information related to COVID19 only use reliable sources of information like CPHOCanada and GovCanHealth and the GoC website   RT PBCCLCC Although the PBC has temporarily suspended victim attendance at parole hearings due to COVID19 victims can still provide vi RT FCACan COVID19 Warning of potential financial fraud  Be very cautious when receiving emails or texts that appear to be from a fina,1
05-04-2020,1608,241,Increase the spread of COVID19,04-04-2020, If you stopped working because of COVID19 the Canada Emergency Response Benefit may provide you with temporary income support of 500 a week for up to 16 weeks Your day to apply depends on your birth month Details   RT CPHOCanada 18 Epidemiology 101 on COVID19 in  Were all in this FlattentheCurve together so lets get up to speed with what we RT WomenCanada The GoC is investing up to 50M to help women fleeing domestic violence in the COVID19 pandemic This funding will suppo Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   To get through this together we must all stay apart PhysicalDistancing saves lives  do your part StayHomeSaveLives  COVID19 FlattenTheCurve  With more Canadians turning to food banks and local food organizations and donations and available volunteers decreasing our help is needed more than ever Today Prime Minister Justin Trudeau announced support for these organizations Watch his COVID19 update   People over 65 and people with underlying medical conditions are at higher risk for getting seriously ill from coronavirus Together we can help slow the spread Learn ways to protect yourself and others at  COVID19  Feeling sick Answer a few questions about your symptoms using Clara CDCs Coronavirus SelfChecker to help you decide if you should call your doctor   CDC COVIDView reports that visits to outpatient providers and ERs for illnesses with similar symptoms to COVID19 are high compared to what we normally see at this time of year Currently there is little flu circulation   RT CDCDirector The US Gov is working to increase PPE supplies to keep our healthcare workers safe during the COVID19 pandemic Begin to If youre pregnant help protect yourself from COVID19 by keeping your distance from others washing your hands frequently and avoiding people who are sick Learn more at   DYK CDCs recommendation on wearing a cloth face covering may help protect the most vulnerable from COVID19 Watch SurgeonGeneral Jerome Adams make a face covering in a few easy steps   RT CDCDirector Grateful to join POTUS to share latest from WhiteHouse COVID19 Task Force While 30 Day StayAtHome guidance remains ou CDC report indicates that the highest hospitalization rates for COVID19 are in people 65 or older and 5064 yearsold Hospitalization rates now in those age groups are similar to the beginning of an annual flu epidemic   To get through this together we must all stay apart PhysicalDistancing saves lives  do your part StayHomeSaveLives  COVID19 FlattenTheCurve  RT ESDCGC Have you lost or will you lose your income due to the COVID19 pandemic Apply for the Canada Emergency Response Benefit st RT CanBorder NowIsNotTheTime to travel for nonessential purposes StayHome to help fight the spread of COVID19 and help FlattenTheCu To help stop the spread of COVID19Wash your hands frequentlyCough and sneeze into your elbowClean and disinfect frequently touched objects and surfaces ,0
07-04-2020,1230,75,Increase the spread of COVID19,06-04-2020, RT GovCanHealth It isnt yet known how long the virus causing COVID19 lives on surfaces however early evidence suggests it can live on Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   If you were born in the months of January February or March and are eligible for the Canada Emergency Response Benefit apply today More info on how to apply and eligibility  COVID19  Too much news about the COVID19 pandemic can be upsetting Stay informed but takebreaks from news and social media   Do you or does someone you know communicate using American Sign Language Watch videos on coronavirus disease 2019 COVID19 part of the ASL video series on the CDC Streaming Health YouTube channel  Reduce spread of COVID19 When in public use a cloth face covering that Reaches above nose amp below chin completely covering mouth amp nostrilsFits snugly against sides of your faceIs made of multiple layers of cloth that you can breathe through  HCP New guidance for COVID19 allows for nasal swabs to be used for testing Self or HCPcollected nasal swabs are acceptable specimen types See more   New CDCMMWR report is the first to look at COVID19 illness in kids in the US Among more than 2500 cases of COVID19 in children in the US three children reportedly died   Does someone have a birthday during COVID19 distancing Show them you care by celebrating virtually Record a video message make signs amp send pics Maintain physicaldistance while staying socially connected   CDC report shows the percentage of deaths due to pneumonia not associated with flu has increased sharply since the end of February This could be caused by COVID19   RT GovCanHealth Information is available to answer health product manufacturers and distributors questions related to COVID19 Learn m Stay cyberhealthy follow csecst amp GetCyberSafe for helpful advice and guidance on how Canadians can protect themselves from COVID19 related phishing attempts Learn how you can protect yourself  ,2
08-04-2020,1392,162,Increase the spread of COVID19,07-04-2020, Through the Plan to Mobilize Industry to fight COVID19 were helping companies retool repurpose and innovate Thousands of Canadian companies have stepped forward to help and on behalf of all Canadians thank you   Canadian businesses and manufacturers are stepping up to fight COVID19 Today Prime Minister Justin Trudeau announced further progress under Canadas Plan to Mobilize Industry to fight COVID19 Details  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   If you were born in the months of April May or June and are eligible for the Canada Emergency Response Benefit apply today More info on how to apply and eligibility  COVID19  Whatever your situation the Government of Canada is working hard to get you the help you need  COVID19  RT CPHOCanada Thank you to all of the essential workers who are supporting  as we face COVID19 TogetherApart ThankATrucker for del Coronavirus face covering donts are simple do NOT use a face covering on a child under two years old and do NOT use surgical masks or other PPE intended for healthcare workers See some COVID19 face covering questions and answers   Coronavirus face covering dos as you get ready to go to the grocery store the pharmacy or to your doctors office Do make sure you can breathe through it Do wear it whenever going out in public Do make sure it covers your nose and mouth and do wash after each use  Is someone in your home sick with COVID19  Do not clean the area around them unless it is soiled In the rest of the home clean often touched surfaces amp objects phones tables countertops light switches doorknobs using soap amp water then disinfect   Growing evidence suggests COVID19 can spread before people show symptoms presymptomatic and from people who have coronavirus but never show symptoms asymptomatic Cloth face coverings help prevent spread of COVID19 in these situationsSee QampA   Plan meals and have your food delivered if possible If you must go to the store during COVID19 avoid peak hours and try to send only one person to shop More household tips  PhysicalDistance SocialDistancing  Thank you to all the healthcare heroes who are on the frontlines giving everything they have to fight COVID19 amp save lives CDC has resources for you NPHW  RT CompBureau Some apps that claim to map out COVID19 cases as they evolve can be a fraud StayVigilant as they can download malware t RT rcmpgrcpolice Listen to what one of our experts has to say about COVID19 scams and cyber threats Protect yourself and each other P RT CPHOCanada 16 For COVID19 layering publichealth protections is a MUST Unless practiced well amp maintained none can be 100 Our b To all first responders and health care workers taking care of Canadians Thank you for being on the front lines to help PlankTheCurve COVID19 Thank you to all essential business employees for working through this difficult time and providing Canadians with the supplies we need to continue to PlankTheCurve COVID19,2
09-04-2020,1476,84,Increase the spread of COVID19,08-04-2020, RT CdnHeritage Wishing everyone celebrating a happy safe and healthy Passover As we continue to fight COVID19 together remember to Prime Minister Justin Trudeau announces temporary changes to the Canada Summer Jobs program that will help employers hire summer staff and provide young Canadians access to the jobs they need  COVID19 Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   If you were born in the months of July August or September and are eligible for the Canada Emergency Response Benefit apply today More info on how to apply and eligibility  COVID19  New WhiteHouse CDC amp DHSgov guidance applies to critical employees exposed to confirmed or suspected COVID19 case but who do not have symptoms They should be screened before entering work monitor for symptoms wear a cloth face cover and practice social distancing Today WhiteHouse CDC amp DHSgov provide strategies aimed at helping our most critical workers quickly return to work after potential exposure to COVID19 provided those workers are symptomfree  As of April 8 48 US states amp 1 US territory report some community spread of COVID19 Of those 32 report COVID19 cases are widespread When out for essential trips wear a cloth face covering amp keep 6 ft of physical distance between yourself amp others   Large gatherings like a birthday party and a funeral likely helped spread COVID19 in Chicago Read more about the investigation in CDCMMWR   CDCMMWR notes March hospitalization rates from COVID19 in older people were higher than what is typically seen early in a flu season Also most people hospitalized with COVID19 had an underlying health problem    Get your information about COVID19 from reliable sources like GovCanHealth CPHOCanada and local provincial or territorial public health authorities  RT GovCanHealth Family and friends outside of Canada often cross the border for the holidays Due to COVID19 a reminder that nonCanadi,2
13-04-2020,1297,232,Increase the spread of COVID19,12-04-2020, The COVID19 pandemic is the challenge of our generation But together we will get through this Watch Prime Minister Justin Trudeaus Sunday address   Today Prime Minister Justin Trudeau addressed Canadians in the House of Commons and called on everyone to be there for each other as we fight COVID19 Watch his full remarks  Prevent the spread of COVID19 in your home If possible have sick household member stay in a separate room use a separate bathroom wear a facemask when around others within the home in a vehicle or doctors office  While many are staying inside during COVID19 severe weather is happening across the country Its important you know a safe place to shelter amp have several ways to receive weather alerts Follow instructions from your local officials amp stay informed with alerts from NWS  Be sure to takebreaks from news and social media about COVID19 Too much news about the pandemic can be upsetting When you do need information get the latest from your local or state health department and CDC   When was the last time you washed your handsREMEMBER Wash your hands for 20 seconds frequently throughout the dayUse alcoholbased hand sanitizer if soap and water isnt available  COVID19  If youre a Canadian business that can help our response to COVID19 by meeting the need for medical supplies see how you can help ,2
14-04-2020,1383,86,Increase the spread of COVID19,13-04-2020, RT GovCanHealth Health Canada has authorized a new rapid screening test developed by Ottawabased spartanbio to diagnose COVID19 in le Growing evidence suggests COVID19 can spread before people show symptoms presymptomatic and from people who have coronavirus but never show symptoms asymptomatic Cloth face coverings help prevent spread of COVID19 in these situationsSee QampA   Protect yourself from COVID19 callin prescriptions ahead of time and use drivethru windows curbside services mailorder or other delivery services Read more tips here   RT SurgeonGeneral Do your part to SlowTheSpread of COVID19  RT CDCDirector Discussed the latest on COVID19 this morning on foxandfriends I want to thank the American people for embracing the soc A new report in CDCMMWR highlights how public policies in 4 US cities helped ensure social distancing in their communities CDC recommends staying home washing hands and using cloth face coverings to slow the spread of COVID19   If you think you might have symptoms of COVID19 watch this videoThen use the selfassessment tool to see if you need medical assistance StayHome SaveLives FlattenTheCurve ,2
16-04-2020,1711,393,Increase the spread of COVID19,15-04-2020, RT DeputyPMCanada The Government of Canada is committed to providing accurate and evidencebased info about COVID19 Help prevent misi RT GovCanHealth Finding it difficult to cope during COVID19 The Wellness Together Canada mental health and substance use support portal Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The COVID19 pandemic has changed the daily lives of all Canadians No matter where you live in a small community or a big city the Government of Canada is here for you  HCPs COCA Call on Thurs April 16 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic Guidance for Certifying Deaths Due to Coronavirus Disease 2019 COVID19 Learn more   New COVID19 data provide age race and ethnicity of confirmed US cases of COVID19 as of April 14 Note that in many cases these factors were missing or not reported See the data table   As of April 15 50 US states DC amp 4 US territories have reported cases of COVID19 Of those 34 report COVID19 cases are widespreadWhen out for essential trips wear a cloth face covering amp keep 6 ft of physical distance between yourself amp others   RT SurgeonGeneral This is particularly important as we StayHome during COVID19 Look for ways to be ActiveandHealthy  sneak in squat RT SecAzar Were inspired by the sacrifices Americans across the nation are making to help SlowTheSpread of COVID19 Were all in this Wearing a cloth face covering CORRECTLY can help prevent the spread of COVID19 to others When you go out on essential trips follow these dos If you have a child remember those under age 2 should not wear a face covering See   Did you know that those with a history of heart disease are at higher risk for getting seriously ill from coronavirus Learn more at  COVID19  Get your information about COVID19 from reliable sources like GovCanHealth CPHOCanada and local provincial or territorial public health authorities ,2
17-04-2020,1792,81,Increase the spread of COVID19,16-04-2020, RT GovCanHealth April 16 For the latest data on how the COVID19 outbreak is evolving in Canada visit our interactive COVID19 Situatio Today Prime Minister Justin Trudeau announced new measures to support Canadian businesses so they can keep their doors open and their employees on the job Learn more  COVID19 Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   HCPs COCA Call on Friday April 17 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic COVID19 in the United States Insights from Healthcare Systems Learn more   COVID19 spreads like dominoes fall Help protect your family and your community Wash your hands stayhome and practice socialdistancing by keeping at least 6 feet of distance between yourself and others   Homeless amp meal service providers You have an important role in slowing the spread of COVID19 See guidance on preparing for amp handling a COVID19 outbreak   Healthcare professionals DYK CDC offers trainings on clinical care and infection control PPE NPIs and emergency preparedness and response specific to COVID19 Find recently recorded COVID19 webinars and online courses   RT SurgeonGeneral TogetherApart we will SlowTheSpread of COVID19Visit  for the latest information  RT NIH Wondering how to help during the COVID19 epidemic NIHs NIMHDirector Dr Joshua Gordon explains the importance of stayinghome RT CDCDirector Healthcare workers are vital to tackling the COVID19 outbreak We need to keep them healthy so they can do their importan RT CDCDirector A key feature of the COVID19 outbreak is it can spread before you even have symptoms or feel sick  so it is quite contag Avoid shopping for food amp other essentials inperson if youre not feeling well Order food amp other items online for home delivery or curbside pickup For more tips during COVID19 visit   HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic Guidance for Certifying Deaths Due to Coronavirus Disease 2019 COVID19 Learn more about the event at   Do you think you may have COVID19 Monitor your symptoms and call ahead before visiting your doctor Most people who get COVID19 can take care of themselves at home Take precautions to protect yourself and others around you See more   RT GetCyberSafe Cyber threat actors thrive in times of uncertainty and misinformation Practice good cyber hygiene during the COVID19 pa With everyone practicing PhysicalDistancing more people are online Take this time to talk about cyberbullying with your children COVID19  ,0
