date,new_confirmed,category_value,category_label,Tweet_date,Tweet
02-04-2020,1670,605,Increase the spread of COVID19,19-03-2020, The Government of Canada is moving fast to protect Canadians and the economy Today Prime Minister Justin Trudeau updated Canadians about COVID19 and new measures Details   Today Prime Minister Justin Trudeau spoke with the President of Ukraine Volodymyr Zelenskyy to discuss COVID19 Read a summary of the call here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The Government of Canada is taking action to help businesses affected by the COVID19 crisis Learn more about the new measures to support Canadian businesses and help them retain their workers during this difficult time   Canadians should not have to worry about paying their rent or mortgage or buying groceries because of the COVID19 crisis Learn how the Government of Canada is taking action to support workers and their families   RT SecAzar Here are steps that every American should take to slow the spread of the coronavirus For the latest information from the CD RT HHSGov Together we can stop the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo Practice social distancing by putting space between yourself and others Continue to practice healthy habits like washing your hands for at least 20 seconds and staying home if youre sick to help slow the spread of COVID19 Learn more   RT CommrRCMPGRC The RCMP is monitoring the COVID19 pandemic and has measures in place to maintain policing services from coast to coast
04-04-2020,1367,113,Increase the spread of COVID19,21-03-2020, If you are a Canadian abroad register with Global Affairs Canada so the government can provide you with information as soon as it becomes availableRegister online here  COVID19  Today Prime Minister Justin Trudeau addressed Canadians on the COVID19 situation and announced measures the Government of Canada is taking to help Canadian travellers find a way to get home Announcement details   RT GovCanHealth Think you might be experiencing symptoms of COVID19 Use the COVID19 selfassessment tool to help you determine if you Prime Minister Justin Trudeau announces efforts to bring Canadians home from abroad  COVID19 Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The Government of Canada is launching Canadas Plan to Mobilize Industry to Fight COVID19 to ensure that companies can quickly produce here in Canada the things we need Learn more   Have you prepared a space in your home in case someone gets COVID19 If a person you live with gets sick you should separate them from others Use an extra room or other area and  if possible  have them use a separate bathroom   Blood donors who are well schedule appointment to donate today Urgent need for donated blood US blood centers are following safety measures for COVID19 incl social distancing for donors and staff and adhering to environmental cleaning practices See  Practice physical or social distancing by putting space between yourself and others Continue to practice healthy habits washing your hands for at least 20 seconds amp staying home if sick to help slow the spread of COVID19 Learn more  StayAtHome  Everyone has a role to play to reduce amp slow transmission of COVID19 Physical or social distancing is one way to prevent the spread of COVID19 This means avoiding crowded places and maintaining distance from others More prevention tips  StayAtHome  RT CanadianPM Prime Minister Justin Trudeau announces efforts to bring Canadians home from abroad  COVID19 RT CanadianPM Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa htt Effective March 21 at 1201 am EDT the reciprocal border crossing agreement with the US comes into effect to protect the health and safety of Canadians and limit the spread of COVID19 Read more   RT CPHOCanada A key reason we need to delay and PlanktheCurve is to buy time for research and innovation to occur COVID19 Innovati
05-04-2020,1608,241,Increase the spread of COVID19,22-03-2020, RT GovCanHealth Meet our new COVID19 virtual assistant It can help you find important information on symptoms and treatment travel adv Prime Minister Justin Trudeau announced that the Government House Leader has asked the HoCSpeaker to recall the House in order to introduce measures to support workers and businesses during the COVID19 pandemic  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   We all have a role to play to reducing and slowing transmission of COVID19 Physical or social distancing is one way to prevent the spread of COVID19 This means avoiding crowded places and maintaining distance from others More tips  StayAtHome  RT fema  Due to the large amount of speculation regarding COVID19 this is a reminder to rely on OFFICIAL sources for accurate informat
07-04-2020,1230,75,Increase the spread of COVID19,24-03-2020, No matter who you are where you live or what you do COVID19 is having a real impact on your life The government is working hard to deliver support to Canadians as quickly as possible  RT GovCanHealth How is COVID19 transmitted Thats one of the many questions our virtual assistant can answer Meet them today  Yesterday Prime Minister Justin Trudeau spoke with the Prime Minister of Japan Shinzo Abe to discuss the latest developments in the COVID19 pandemic Read a summary of the call here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau and DeputyPMCanada Chrystia Freeland spoke with First Ministers to discuss COVID19 and the ongoing collective efforts to protect the health and safety of Canadians Read a summary of the call here  Today Prime Minister Justin Trudeau spoke with the Prime Minister of Ethiopia AbiyAhmedAli to discuss COVID19 Read a summary of the call here  The government will continue to support people and businesses affected by COVID19 Today Prime Minister Justin Trudeau announced support for farmers and agrifood businesses  research and vaccine development  NEW CDCTRAVELNOTICES COVID19 in Romania Qatar Singapore Saudi Arabia Philippines Ecuador South Africa Indonesia and India Avoid all nonessential travel to these areas More information   HCPs COCA Call on Wed March 25 at 2pm ET can also be found on COCAs Facebook profile via Facebook Live Topic COVID19 Update Optimization Strategies for Healthcare Personal Protective Equipment PPE Learn more   Parents A key to slowing the spread of COVID19 is to limit social interactions and practice socialdistancing Press pause on play dates amp keep any groups as small as possible StayAtHome   HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic Underlying Medical Conditions and People at Higher Risk for Coronavirus Disease 2019 COVID19 Learn more about the event at   RT GovCanHealth How is COVID19 transmitted Thats one of the many questions our virtual assistant can answer Meet them today 
08-04-2020,1392,162,Increase the spread of COVID19,25-03-2020, RT FinanceCanada To help workers and assist businesses to keep employees the Government has introduced the COVID19 Canada Emergency Res RT GovCanHealth For uptodate information about COVID19 including symptoms and treatments prevention and travel advice visit https RT csecst Theres a lot of coronavirus misinformation circulating online Before clicking on a link or sharing information about COVID RT SafetyCanada We want to thank all the front line personnel for their tireless efforts to combat COVID19 in Canada We are forever gr Today Prime Minister Justin Trudeau spoke with the President of Senegal MackySall about the latest developments in the COVID19 pandemic Read a summary of the call here  Today Prime Minister Justin Trudeau spoke with the President of Rwanda PaulKagame to discuss COVID19 Read a summary of the call here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   RT CDCtravel NEW CDCTRAVELNOTICE COVID19 in Russia Avoid all nonessential travel to Russia More information  RT SurgeonGeneral One of the most important things you can do to help prevent the spread of COVID19 is wash your hands  thoroughly and As of March 25 41 US states and 1 US territory report some community spread of coronavirus COVID19 Of those thirteen states report COVID19 cases are widespread See CDCs map to stay up to date on what is happening in your state   Use this national pause to keep your distance while staying connected Play it safe to protect yourself and others from COVID19   PhysicalDistance  1 A recent CDCMMWR documented SARSCoV2 RNA was found on surfaces in cruise ship cabins up to 17 days after cabins were vacated on the Diamond Princess before disinfection occurred  COVID19 HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic COVID19 Update Optimization Strategies for Healthcare Personal Protective Equipment PPE Learn more about the event at   RT FinanceCanada To help workers and assist businesses to keep employees the Government has introduced the COVID19 Canada Emergency Res We want to thank all the front line personnel for their tireless efforts to combat COVID19 in Canada We are forever grateful for your dedication to the safety and security of this country 
09-04-2020,1476,84,Increase the spread of COVID19,26-03-2020, Today Prime Minister Justin Trudeau spoke with G20 leaders about global efforts to fight COVID19 Read their joint statement here  RT SafetyCanada Dont fall for COVID19 scams Remember to only follow official sources like CPHOCanada to obtain informationhttps RT GovCanHealth Your actions can help protect your community from COVID19CPHOCanada asks you to take steps to help flattenthecurve Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau spoke with the President of South Korea Moon Jaein to discuss recent developments in the COVID19 pandemic Read a summary of the call here  The Canada Emergency Response Benefit will provide 2000 a month for the next four months for workers who lose their income as a result of COVID19 Details   HCPs Call or log in for the next rescheduled COCA Call Friday March 27 at 2pm ET Topic Underlying Medical Conditions and People at Higher Risk for Coronavirus Disease 2019 COVID19 Learn more   Bored and stressed while at home  Work out that stress while keeping physical distance from others  go for a walk or stream your favorite workout online PhysicalDistance StayAtHome COVID19   Staying at home helps to protect you your family healthcare workers and first responders and slow the spread of coronavirus Learn more at  COVID19  RT CDCDirector CDCs guidelines to combat the spread of COVID19 including social distancing and discouraging of gatherings of 10 or mor Has COVID19 put your work life or school life on hold Use this pause to get prepared for possible community spread Start with a plan for your home  TogetherApart  RT GovCanHealth Your actions can help protect your community from COVID19CPHOCanada asks you to take steps to help flattenthecurve Dont fall for COVID19 scams Remember to only follow official sources like CPHOCanada to obtain information  RT CanBorder COVID19 Under the new Order for MANDATORY SelfIsolation that will be fully implemented by CBSA at ports of entry by midn
13-04-2020,1297,232,Increase the spread of COVID19,30-03-2020, RT CitImmCanada For the most uptodate information about COVID19 travel restrictions and how its affecting immigration refugee citiz Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Worried about your pet during the COVID19 outbreak Theres no evidence that pets can get sick from the virus or spread the virus in the US Continue taking every day preventive actions to keep yourself healthy   RT CDCDirector Inspiring to see USNavy arrive in NYC to help respond to COVID19 Grateful to those serving aboard USNSMercy CDCMMWR study screened older patients in skilled nursing facility for COVID19 symptoms amp took specimens for testing found about half of patients who tested positive did not have symptoms Most went on to develop symptoms some did not   A lot is still being studied about how coronavirus spreads If you have COVID19 and are breastfeeding talk to your doctor and take everyday steps to keep your child safe Learn more   Taking an essential plane trip within Canada You may be unable to renew your ID due to COVID19 closures But if youre flying in Canada you can now temporarily use ID from Cdn govs that expired as of March 1 2020 Travel   stonepapertech PattyHajdu Hello thank you for your interest in providing products and services in support of Canadas response to COVID19 We invite all suppliers with the ability to provide products and services to find more at Thank you With so much information circulating on the internet beware of questionable offers around COVID19 such as Miracle cures Vaccinations Faster testingConsult trustworthy sources like CPHOCanada and GovCanHealth   To stop the spread of Covid19 everyone has a role to play Stay home Practice PhysicalDistancing Wash your hands frequently  RT CanBorder The temporary restrictions at the amp border to limit the spread of COVID19 do not apply essential travel Travel by heal RT CitImmCanada For the most uptodate information about COVID19 travel restrictions and how its affecting immigration refugee citiz
14-04-2020,1383,86,Increase the spread of COVID19,31-03-2020, RT CPHOCanada 66 Even if you are not hearing of COVID19 cases in your community it doesnt mean there are no cases or that there are The Government of Canada is working collaboratively with Canadian businesses and manufacturers to help deliver critical health supplies to fight COVID19 Learn more  Prime Minister Justin Trudeau announces progress under Canadas Plan to Mobilize Industry to fight COVID19 which increases Canadas ability to respond to the outbreak  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau spoke with the Prime Minister of Australia Scott Morrison to exchange views on their respective national measures to combat the COVID19 pandemic Read a summary of the call here  As always Canada and Canadians will get through this by leaning on each other and everyone doing their part We all need to take the right steps and follow public health recommendations Details  COVID19  Through the Canada Emergency Wage Subsidy the Government of Canada will subsidize up to 75 of wages for qualifying businesses to help employers keep people on the payroll Get the details  COVID19  Today Prime Minister Justin Trudeau spoke with Quebec Premier FrancoisLegault to discuss the evolving COVID19 situation Read a summary of the call here  DYK Disease outbreaks including pandemics typically follow a certain pattern The US is in the acceleration phase of the COVID19 pandemic The peak of an outbreak is the point at which the greatest number of new infections occur 1 of 2  Retirement community staff Lower the chances that residents or staff will get sick from COVID19 by limiting facetoface contact between people amp keeping all facilitiesresidences cleaned amp disinfected More FAQs   While infection from COVID19 is a concern for everyone older adults and people with other health conditions are at a greater risk  Learn about who is more at risk and how to protect yourself and your family in CDCMMWR  RT CanadianPM Prime Minister Justin Trudeau announces progress under Canadas Plan to Mobilize Industry to fight COVID19 which increase Protect yourself from scams around COVID19 wanting to profit from consumers fears uncertainties and misinformation Be aware of reported scams and if you see a scam report it   RT CPHOCanada 15 These are unprecedented times amp this is NOT SPRING AS USUAL so I am reiterating my COVID19 Spring Checklist to Slow
16-04-2020,1711,393,Increase the spread of COVID19,02-04-2020, RT ESDCGC To help Canadian workers get through the COVID19 outbreak we have introduced the Canada Emergency Response BenefitIf you RT FinanceCanada Learn how we are providing support to small businesses affected by COVID19 More details here  Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   The Government is working hard to make sure Canadians get the support they need Today Prime Minister Justin Trudeau outlined Canadas ongoing efforts to fight COVID19 and provided an update on the Canada Emergency Response Benefit Details   Do you have a loved one in a nursing home or assisted living facility Please protect them from COVID19 Instead of inperson visits share phone or video calls This is temporary and will protect those at higher risk of COVID19 Learn more   RT HHSGov Together we can slow the spread of COVID19 Here are the most recent guidelines for Americans from the WhiteHouse and CDCgo Worried about your family member in an independent care facility amp how to protect them from COVID19 You can help by monitoring food and other medical supplies they may need and creating a backup plan Visit   Handwashing is one of the best ways to protect yourself and your family from getting sick Learn when and how you should wash your hands to stay healthy  COVID19  HCPs Today at 2pm ET log in to COCA Facebook profile or call in COCA Call Topic Clinical Management of Critically Ill Adults with Coronavirus Disease 2019 COVID19 Learn more about the event at   Everyone can help prevent spread of COVID19 Clara the Coronavirus SelfChecker can help you decide when to call your doctor if you are feeling sick Start using Clara here   GoC has released guidance on services and functions deemed essential CriticalInfrastructure  The impacts of COVID19 are wideranging and it is essential that the systems that we all rely on as Canadians continue to function  GoC guides the 10 CriticalInfrastructure sectors in identifying and managing their essential workforce while responding to COVID19  RT FinanceCanada To support workers who lost their income due to COVID19 the GoC has established the Canada Emergency Response Benefit Employers and employees all have a role to play to PlankTheCurve Learn how to prepare your workplace for COVID19   RT Transportgc We are working to ensure the safety and security of Canadas transportation network during COVID19 so that food medici
17-04-2020,1792,81,Increase the spread of COVID19,03-04-2020, RT AAFCCanada The GoC is supporting food security organizations in  who are responding to COVID19 Up to 100M will help improve acc Prime Minister Justin Trudeau announces support for food banks and local food organizations to improve access to food for Canadians facing social economic and health impacts of COVID19   Watch live Prime Minister Justin Trudeau addresses Canadians on the COVID19 situation from Rideau Cottage in Ottawa   Yesterday Prime Minister Justin Trudeau and DeputyPMCanada Chrystia Freeland spoke with premiers on continued efforts to address the impacts of COVID19 Read about their discussion  The Government of Canada is giving the fight against COVID19 everything weve got but it wont be enough without your help Its going to take physical distancing and time to FlattenTheCurve Watch todays update on what were doing   The cloth face coverings recommended to slow spread of COVID19 are not surgical masks or N95 respirators  Those critical supplies must continue to be reserved for healthcare workers and other medical first responders as recommended by current CDC guidance Cloth face coverings fashioned from household items or made at home from common materials at low cost can be used as an additional voluntary public health measure to help slow the spread of COVID19 Maintaining 6feet min social distancing remains important to slowing spread of COVID19  CDC also advises use of simple cloth face coverings to slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others In light of new evidence CDC recommends wearing cloth face coverings to slow spread of COVID19 in public settings where other social distancing measures are difficult to maintain eg grocery stores amp pharmacies esp in areas of significant communitybased transmission Recent studies show that a significant portion of individuals with COVID19 lack symptoms asymptomatic and that even those who eventually develop symptoms presymptomatic can transmit the virus to others before showing symptoms Breaking CDCs recommendation on use of cloth face coverings especially in areas of significant communitybased transmission of COVID19 Read more  COVID19 is the first pandemic caused by a new coronavirus In the past pandemics of respiratory disease have progressed in phases The US is in the acceleration phase of the COVID19 pandemic There are ongoing investigations to learn more See   HCPs Using telemedicine instead of facetoface encounters for routine medical visits can help slow the spread of COVID19 in communities Learn more   Early implementation of community interventions in Santa Clara CA such as protecting vulnerable populations cancelling large gatherings and ordering residents to shelter in place was likely essential in slowing the spread of COVID19 More in CDCMMWR   In assisted amp independent living communities enhanced measures including social distancing visitor restriction exclusion of ill staff amp enhanced hygiene practices implemented quickly after detecting a COVID19 case can decrease spread   To slow the spread of COVID19 stay at home except to get groceries medications or other essentials Avoid outings you dont have to take Visit the FAQs for more tips PhysicalDistance SocialDistancing  The Government of Canada has accepted a Request For Assistance from Quebec to help northern communities respond to COVID19 Were working closely with our federal and provincial partners to help during this difficult time When verifying information related to COVID19 only use reliable sources of information like CPHOCanada and GovCanHealth and the GoC website   RT PBCCLCC Although the PBC has temporarily suspended victim attendance at parole hearings due to COVID19 victims can still provide vi RT FCACan COVID19 Warning of potential financial fraud  Be very cautious when receiving emails or texts that appear to be from a fina
